year,gold_annual_return_percent,silver_annual_return_percent,avg_gprd,avg_gold_price,avg_silver_price,gold_yoy_return_percent,silver_yoy_return_percent
1985,7.921440261865791,-5.2032520325203295,113.2254761904762,317.4761904761905,6.146349206349206,,
1986,19.506891271056663,-6.806282722513099,110.82515748031496,366.7399212598425,5.434370078740157,15.52,-11.58
1987,20.528404862317043,22.56880733944953,104.10872093023256,446.679031007752,7.0159689922480615,21.8,29.1
1988,-14.845245028704552,-6.646058732612052,91.85961240310075,436.5548062015504,6.525077519379845,-2.27,-7.0
1989,-1.7622111728575516,-11.375212224108658,97.1018992248062,381.10968992248064,5.4925968992248055,-12.7,-15.82
1990,-1.6147202403304517,-18.88246628131022,127.55734615384615,383.8136923076923,4.834269230769231,0.71,-11.99
1991,-8.838286375916626,-5.326876513317185,150.45203846153845,362.2303076923077,4.057692307692308,-5.62,-16.06
1992,-5.969517358171051,-5.62659846547315,86.96187022900763,343.82236641221374,3.950496183206107,-5.08,-2.64
1993,18.93166945670369,40.000000000000014,107.202,360.37684615384615,4.326653846153846,4.81,9.52
1994,-2.7682539682539624,-6.500956022944565,106.2596923076923,384.2226538461538,5.291,6.62,22.29
1995,1.0309278350515585,6.134969325153389,91.64776923076924,384.2465,5.213769230769231,0.01,-1.46
1996,-5.773169482846905,-10.654205607476625,92.4395019157088,387.7655172413793,5.204444444444444,0.92,-0.18
1997,-20.89490968801313,27.118644067796616,53.81130769230769,330.9849230769231,4.9198076923076925,-14.64,-5.47
1998,0.0,-15.577889447236176,72.64307692307693,294.2751923076923,5.546153846153846,-11.09,12.73
1999,0.3132068905515842,9.716599190283391,78.63076923076923,278.8435769230769,5.226653846153846,-5.24,-5.76
2000,-5.743944636678209,-14.17910447761195,59.91834615384616,279.2082692307692,4.956346153846154,0.13,-5.17
2001,3.7567416775153295,1.0940919037199084,177.79026923076924,271.37046153846154,4.3791153846153845,-2.81,-11.65
2002,24.439662901201352,4.148471615720513,162.66223076923075,310.7003076923077,4.607461538461538,14.49,5.21
2003,20.088536543024134,23.49272349272351,189.3878076923077,364.21569230769234,4.892076923076924,17.22,6.18
2004,5.6200616689150085,13.90284757118928,139.51536398467434,409.8970881226053,6.678199233716475,12.54,36.51
2005,20.666744375801382,36.11111111111111,110.47276923076925,445.3918461538462,7.321461538461538,8.66,9.63
2006,19.340329835082446,40.52287581699347,114.51857142857143,605.0349806949807,11.598378378378378,35.84,58.42
2007,30.148321623731466,12.215477996965095,102.24653846153844,697.3999615384615,13.391,15.27,15.46
2008,5.577545879812882,-23.191345503718725,88.21141221374046,872.2054580152671,14.97671755725191,25.07,11.84
2009,24.26458085359633,47.80701754385966,89.52099616858237,974.0664750957854,14.707892720306514,11.68,-1.79
2010,29.53478835376135,83.00769686204855,93.08908045977012,1227.308429118774,20.24168582375479,26.0,37.62
2011,10.605953475217422,-9.644835451287069,98.17173076923078,1572.7218076923075,35.31073076923077,28.14,74.45
2012,6.93877811616133,8.979885057471265,90.2335632183908,1668.747011494253,31.16406130268199,6.11,-11.74
2013,-28.03331044981047,-35.775577557755774,89.84180769230768,1410.0741923076923,23.82657692307692,-15.5,-23.54
2014,-1.8202172651131967,-18.811369509043928,109.86519230769233,1266.2359230769232,19.078461538461536,-10.2,-19.93
2015,-10.209226968535589,-11.558109833971908,110.37954022988508,1159.9351340996168,15.70896551724138,-8.4,-17.66
2016,8.589286724362228,15.423606082548869,105.94471264367816,1248.3648659003832,17.112452107279694,7.62,8.93
2017,13.214024962625592,6.070087609511883,119.76223076923075,1258.4182692307693,17.07023076923077,0.81,-0.25
2018,-1.839523743935844,-8.877131099353331,112.0396138996139,1268.9212355212355,15.7107722007722,0.83,-7.96
2019,18.30394037205097,15.106520335700438,102.42665384615384,1393.8183076923078,16.206230769230768,9.84,3.15
2020,24.991102616489822,47.84071789119463,86.70664122137404,1771.3526335877864,20.55992366412213,27.09,26.86
2021,-3.672619988409452,-11.722306525037936,91.39134099616858,1798.8169348659003,25.116973180076627,1.55,22.16
2022,1.3077158008718206,4.855643044619421,171.06192307692308,1801.9247692307688,21.778192307692308,0.17,-13.29
2023,13.099814113144234,-0.9587328053355436,132.84073359073358,1942.7497683397685,23.38996138996139,7.82,7.4
2024,27.134896792324824,21.200671704450045,147.2158076923077,2387.9814230769234,28.275961538461537,22.92,20.89
2025,36.64589260714448,38.383496787284415,166.89177777777778,3169.3277222222223,34.48283333333333,32.72,21.95
