DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%,SILVER_PRICE,SILVER_OPEN,SILVER_HIGH,SILVER_LOW,SILVER_CHANGE_%,GPRD,GPRD_ACT,GPRD_THREAT,EVENT,HAS_EVENT,GOLD_SILVER_RATIO,GOLD_VOLATILITY_30,SILVER_VOLATILITY_30,GOLD_SMA_50,GOLD_SMA_200,GPRD_ROLLING_30,YEAR,MONTH,DECADE
1985-06-24,314.6,314.6,314.6,314.6,0.38,6.15,6.15,6.15,6.15,0.0,230.51,323.43,170.38,,0,51.15447154471545,0.17435075624385588,0.24105396020071207,318.658,,128.36233333333334,1985,6,1980
1985-06-25,315.5,315.5,315.5,315.5,0.29,6.15,6.15,6.15,6.15,0.0,205.66,307.54,146.58,,0,51.30081300813008,0.1633615460938511,0.22062730454736654,318.284,,131.96133333333333,1985,6,1980
1985-06-26,316.7,316.7,316.7,316.7,0.38,6.17,6.17,6.17,6.17,0.33,170.89,183.47,185.82,,0,51.3290113452188,0.15520525101609253,0.21141437177868952,318.008,,134.05433333333335,1985,6,1980
1985-06-27,315.0,315.0,315.0,315.0,-0.54,6.14,6.14,6.14,6.14,-0.49,204.3,232.77,194.15,,0,51.302931596091206,0.15249976513514227,0.207299574289738,317.762,,137.91666666666666,1985,6,1980
1985-06-28,317.7,317.7,317.7,317.7,0.86,6.14,6.14,6.14,6.14,0.0,198.24,216.76,223.34,,0,51.74267100977199,0.1531992351949454,0.20723202494779044,317.522,,141.321,1985,6,1980
1985-07-01,313.9,313.9,313.9,313.9,-1.2,6.04,6.04,6.04,6.04,-1.63,255.47,322.6,254.92,,0,51.97019867549668,0.15506614672761243,0.21129389992657258,317.26,,145.0896666666667,1985,7,1980
1985-07-02,308.2,308.2,308.2,308.2,-1.82,5.91,5.91,5.91,5.91,-2.15,222.37,275.2,242.29,,0,52.14890016920474,0.16256554034642645,0.2135084532168149,316.87,,148.877,1985,7,1980
1985-07-03,310.3,310.3,310.3,310.3,0.68,5.91,5.91,5.91,5.91,0.0,142.72,194.7,87.44,,0,52.50423011844332,0.14673898265767582,0.19090632164659538,316.54400000000004,,149.96233333333333,1985,7,1980
1985-07-08,309.2,309.2,309.2,309.2,-0.35,6.01,6.01,6.01,6.01,1.69,112.29,93.29,124.5,,0,51.447587354409315,0.14624953790874418,0.19800300296824702,316.288,,149.06166666666667,1985,7,1980
1985-07-09,314.8,314.8,314.8,314.8,1.81,6.04,6.04,6.04,6.04,0.5,153.03,161.53,149.7,,0,52.11920529801325,0.15589179746428367,0.19687115702925892,316.134,,150.30033333333333,1985,7,1980
1985-07-10,314.8,314.8,314.8,314.8,0.0,6.05,6.05,6.05,6.05,0.17,197.09,226.71,163.88,,0,52.033057851239676,0.1557519488778879,0.19691763537833668,315.96,,153.772,1985,7,1980
1985-07-11,313.5,313.5,313.5,313.5,-0.41,6.05,6.05,6.05,6.05,0.0,150.91,195.58,112.94,,0,51.81818181818182,0.15288237230426366,0.19207667593947117,315.78,,154.745,1985,7,1980
1985-07-12,312.6,312.6,312.6,312.6,-0.29,6.06,6.06,6.06,6.06,0.17,174.69,258.0,107.6,,0,51.58415841584159,0.1530293794570641,0.17039179862591922,315.606,,158.739,1985,7,1980
1985-07-15,315.8,315.8,315.8,315.8,1.02,6.07,6.07,6.07,6.07,0.17,136.8,116.9,130.01,,0,52.02635914332784,0.15401454446698795,0.16906681390236775,315.672,,160.42233333333334,1985,7,1980
1985-07-16,321.7,321.7,321.7,321.7,1.87,6.18,6.18,6.18,6.18,1.81,108.47,116.46,97.14,,0,52.055016181229774,0.16290310920809947,0.17505818130588413,315.842,,160.46933333333334,1985,7,1980
1985-07-17,325.6,325.6,325.6,325.6,1.21,6.26,6.26,6.26,6.26,1.29,90.34,30.02,125.2,,0,52.012779552715664,0.16231665431182282,0.16547923701383244,316.1,,159.48000000000002,1985,7,1980
1985-07-18,320.0,320.0,320.0,320.0,-1.72,6.14,6.14,6.14,6.14,-1.92,122.97,137.92,115.04,,0,52.11726384364821,0.16892120471084182,0.17506759358448817,316.302,,160.98099999999997,1985,7,1980
1985-07-19,318.9,318.9,318.9,318.9,-0.34,6.13,6.13,6.13,6.13,-0.16,104.27,127.94,80.03,,0,52.02283849918434,0.16860851581797845,0.17515359084770868,316.41,,160.99066666666667,1985,7,1980
1985-07-22,317.2,317.2,317.2,317.2,-0.53,6.08,6.08,6.08,6.08,-0.82,133.74,225.63,51.33,,0,52.171052631578945,0.16940503142055996,0.17620382531994316,316.498,,162.11700000000002,1985,7,1980
1985-07-23,322.5,322.5,322.5,322.5,1.67,6.13,6.13,6.13,6.13,0.82,167.2,145.85,191.16,,0,52.61011419249592,0.17580419790364252,0.1778318844894833,316.646,,163.875,1985,7,1980
1985-07-24,317.7,317.7,317.7,317.7,-1.49,6.06,6.06,6.06,6.06,-1.14,145.21,199.05,120.75,,0,52.42574257425743,0.18019686189625447,0.17938317119640826,316.71,,163.77566666666664,1985,7,1980
1985-07-25,317.4,317.4,317.4,317.4,-0.09,6.09,6.09,6.09,6.09,0.5,81.19,80.94,94.52,,0,52.11822660098522,0.1782278843570526,0.17668939336363,316.63800000000003,,162.94466666666668,1985,7,1980
1985-07-26,316.9,316.9,316.9,316.9,-0.16,6.12,6.12,6.12,6.12,0.49,82.4,82.15,82.22,,0,51.78104575163398,0.17822677512528767,0.17705071335834788,316.446,,161.66333333333333,1985,7,1980
1985-07-29,326.5,326.5,326.5,326.5,3.03,6.36,6.36,6.36,6.36,3.92,120.96,129.87,123.8,,0,51.33647798742138,0.19796775801143845,0.2096476662729247,316.522,,161.399,1985,7,1980
1985-07-30,325.2,325.2,325.2,325.2,-0.4,6.27,6.27,6.27,6.27,-1.42,124.1,114.2,111.13,,0,51.866028708133975,0.19465957901428857,0.21027295065172094,316.62399999999997,,161.78133333333335,1985,7,1980
1985-07-31,327.5,327.5,327.5,327.5,0.71,6.27,6.27,6.27,6.27,0.0,106.54,96.56,96.65,,0,52.23285486443382,0.1954750647957483,0.20899253390378028,316.724,,160.88033333333334,1985,7,1980
1985-08-01,322.1,322.1,322.1,322.1,-1.65,6.19,6.19,6.19,6.19,-1.28,140.76,149.68,124.85,,0,52.035541195476576,0.19708542714003763,0.20537017466582805,316.7,,156.96166666666667,1985,8,1980
1985-08-02,320.5,320.5,320.5,320.5,-0.5,6.18,6.18,6.18,6.18,-0.16,75.1,66.55,97.14,,0,51.86084142394822,0.1969036229086465,0.2050797288361909,316.812,,153.944,1985,8,1980
1985-08-05,323.7,323.7,323.7,323.7,1.0,6.17,6.17,6.17,6.17,-0.16,62.5,62.31,51.97,,0,52.463533225283626,0.18762361184712145,0.19177814541584612,316.96,,147.81433333333334,1985,8,1980
1985-08-06,320.0,320.0,320.0,320.0,-1.14,6.11,6.11,6.11,6.11,-0.97,116.64,93.02,135.79,,0,52.37315875613748,0.185472240348965,0.19243703497653253,317.052,,144.5786666666667,1985,8,1980
1985-08-07,321.1,321.1,321.1,321.1,0.34,6.14,6.14,6.14,6.14,0.49,95.39,69.16,100.95,,0,52.29641693811075,0.18541942708796583,0.19299496976928435,317.18,,140.07466666666667,1985,8,1980
1985-08-08,322.7,322.7,322.7,322.7,0.5,6.15,6.15,6.15,6.15,0.16,42.04,50.29,41.95,,0,52.47154471544715,0.18573132777283657,0.1930514607623774,317.408,,134.62066666666666,1985,8,1980
1985-08-09,321.6,321.6,321.6,321.6,-0.34,6.12,6.12,6.12,6.12,-0.49,95.79,111.41,79.65,,0,52.54901960784314,0.18590022839974057,0.19332518757302822,317.6,,132.11733333333333,1985,8,1980
1985-08-12,326.9,326.9,326.9,326.9,1.65,6.28,6.28,6.28,6.28,2.61,120.63,129.5,108.02,,0,52.05414012738853,0.19055408359965634,0.2072145163352015,317.846,,129.32833333333332,1985,8,1980
1985-08-13,326.7,326.7,326.7,326.7,-0.06,6.26,6.26,6.26,6.26,-0.32,76.64,101.87,56.65,,0,52.18849840255591,0.18936665347403644,0.20753117072078664,318.1,,125.275,1985,8,1980
1985-08-14,326.0,326.0,326.0,326.0,-0.21,6.27,6.27,6.27,6.27,0.16,101.09,108.53,77.59,,0,51.99362041467305,0.18562829326223745,0.20116576453683446,318.258,,120.12899999999999,1985,8,1980
1985-08-15,331.3,331.3,331.3,331.3,1.63,6.31,6.31,6.31,6.31,0.64,53.31,45.55,50.66,,0,52.503961965134714,0.18097597960125902,0.1895482442552692,318.57,,114.49366666666667,1985,8,1980
1985-08-16,335.3,335.3,335.3,335.3,1.21,6.39,6.39,6.39,6.39,1.27,59.29,59.1,49.3,,0,52.472613458528954,0.18270566784757974,0.1917868189229441,318.99199999999996,,111.71266666666666,1985,8,1980
1985-08-19,341.1,341.1,341.1,341.1,1.73,6.34,6.34,6.34,6.34,-0.78,104.41,94.62,110.5,,0,53.801261829653,0.18651150303303352,0.18920863662795978,319.518,,111.45,1985,8,1980
1985-08-20,334.4,334.4,334.4,334.4,-1.96,6.27,6.27,6.27,6.27,-1.1,83.44,116.46,55.51,,0,53.333333333333336,0.19253709062538346,0.19257232493921117,319.92,,109.13033333333333,1985,8,1980
1985-08-21,335.9,335.9,335.9,335.9,0.45,6.29,6.29,6.29,6.29,0.32,167.72,234.09,125.52,,0,53.40222575516693,0.19255365664724072,0.1926470891057063,320.39799999999997,,108.15133333333333,1985,8,1980
1985-08-22,335.5,335.5,335.5,335.5,-0.12,6.29,6.29,6.29,6.29,0.0,108.1,76.98,115.57,,0,53.33863275039746,0.19189672449444603,0.1926470891057063,320.808,,106.72433333333333,1985,8,1980
1985-08-23,334.8,334.8,334.8,334.8,-0.21,6.2,6.2,6.2,6.2,-1.43,72.01,95.72,39.92,,0,54.0,0.19172525490425513,0.19792401217729172,321.214,,103.30166666666666,1985,8,1980
